text,created_at,geo,lang,place,coordinates,user.favourites_count,user.statuses_count,user.description,user.location,user.id,user.created_at,user.verified,user.following,user.url,user.listed_count,user.followers_count,user.default_profile_image,user.utc_offset,user.friends_count,user.default_profile,user.name,user.lang,user.screen_name,user.geo_enabled,user.profile_background_color,user.profile_image_url,user.time_zone,id,favorite_count,retweeted,source,favorited,retweet_count
"RT @SputnikInt: Peruvian court probing judge's ruling alleging Soros, Bill Gates are creators of #COVID19 pandemic 

@georgesoros @BillGate…",Wed Jan 13 08:20:01 +0000 2021,,en,,,21819,18171,"#ChAdOx1 #AZD1222 #Vaccitech #AD5 #Cansino #Influenza 
Locked Accounts will be blocked! 😏",,1115723971654107136,Tue Apr 09 21:11:38 +0000 2019,False,False,,2,793,False,,1198,True,Fools Multiply,,FoolsMultiply,False,F5F8FA,http://pbs.twimg.com/profile_images/1301052672926248960/D_9GZQhe_normal.jpg,,1349269961756315648,0,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,70
"Some day I will top @JeffBezos  @elonmusk  @BillGates ...today is their turn and tomorrow is mine.
Still on the mov… https://t.co/Mln6XtsS0X",Wed Jan 13 08:19:28 +0000 2021,,en,,,110,21,"CEO,#Flash Electrical Co. LTD,@IPOB family follower of @MaziNnamdiKanu, studying #University of @RadioBiafraLondon.","Enugu, Nigeria",1065928288898551808,Fri Nov 23 11:21:22 +0000 2018,False,False,,0,10,False,,114,True,Okorie Ebubechukwu Bonaventure,,_Bonaventure,False,F5F8FA,http://pbs.twimg.com/profile_images/1066382265234743296/wLzintoM_normal.jpg,,1349269822148902912,1,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,0
"10 Years My Dream ""SKYHINE"" joint with us

@YahooFinance @YahooNews @yahoolife @YouTube @Google @Flipkart @amazon @Yahoo @BillGates",Wed Jan 13 08:17:50 +0000 2021,,en,,,0,2,Skyhine Social Network Company,,1349244660359708672,Wed Jan 13 06:39:42 +0000 2021,False,False,,0,0,True,,8,True,Skyhine,,Skyhine1,False,F5F8FA,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,1349269409488011265,0,False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,0
"RT @kim89Da: @DrEricDing @sarasidnerCNN FOX/GOP did this by echoing trump.

In the important first months GOP encouraged people not to take…",Wed Jan 13 08:17:30 +0000 2021,,en,,,323568,29329,Retired Med Lab Tech. Historian. Musician (Flute). Quilter. Chiweenie Mom. Buckeye. Daughter. Sister. Auntie. Great Auntie. Friend.,"Hilliard, OH",22375029,Sun Mar 01 16:07:40 +0000 2009,False,False,,0,1250,False,,2604,False,Cheri Forney,,cvogue917,False,642D8B,http://pbs.twimg.com/profile_images/970257327638097921/yR1o_zBC_normal.jpg,,1349269326759657473,0,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,3
"RT @ValaAfshar: ""Success is a lousy teacher. It seduces smart people into thinking they can’t lose.” —@BillGates

This is very important li…",Wed Jan 13 08:17:20 +0000 2021,,en,,,294,40,,,1311666892575178758,Thu Oct 01 13:59:10 +0000 2020,False,False,,0,2,True,,34,True,Devendra kumar Gupta,,Devendr40149993,False,F5F8FA,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,1349269284036378625,0,False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,171
"Since @BillGates visited the  South Africa, everything went wrong, he was not her to play tennis @CyrilRamaphosa… https://t.co/B5CyyoxEvr",Wed Jan 13 08:16:17 +0000 2021,,en,,,5917,2424,Psalm 23,,1251946096353521665,Sun Apr 19 18:50:26 +0000 2020,False,False,,0,128,True,,2303,True,Franklin De Jager,,jager_franklin,False,F5F8FA,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,1349269021712113666,0,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,0
RT @chilternbear: @S2K7771 @CadburyUK @GaryLineker @MarcusRashford @BillGates @BillScrotum @acgrayling @Schofe @JustinWelby @susannareid100…,Wed Jan 13 08:13:20 +0000 2021,,en,,,30075,58419,In here in spirit if not in person.Find me on Parler @Bongoland and @SeeBongoland  on Gab,"Jedburgh, Scotland",1652752345,Wed Aug 07 11:31:08 +0000 2013,False,False,,1,615,False,,582,False,A Ghostly Spectre,,FaisalBongobong,False,C0DEED,http://pbs.twimg.com/profile_images/1342384193653891073/6hsoyk5D_normal.jpg,,1349268276984086528,0,False,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",False,2
"@SizweLo How does one define ""AFRICANS"". @drrobertoyoung, deplorable, are you God! Eliminate 3 billion according to… https://t.co/GJvuvZoHGi",Wed Jan 13 08:12:15 +0000 2021,,en,,,92,184,,"Bulawayo, Zimbabwe",529412951,Mon Mar 19 14:14:26 +0000 2012,False,False,,0,3,False,,12,True,Tanya Gomez,,TanyaGomez7,False,C0DEED,http://pbs.twimg.com/profile_images/1293618494785949696/u9Jbj71l_normal.jpg,,1349268007248404480,0,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,0
@SaketGokhale @SerumInstIndia This guy adhar poonawala of @SerumInstIndia begs money from @BillGates in the name of… https://t.co/hIHQ8SLbeO,Wed Jan 13 08:11:22 +0000 2021,,en,,,10876,7260,busy body,India,152119642,Sat Jun 05 03:47:13 +0000 2010,False,False,,0,152,False,,279,True,DalitBoy,,subcontinentie,True,C0DEED,http://pbs.twimg.com/profile_images/1312347305131925504/JZjb3Mir_normal.jpg,,1349267784107053057,0,False,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",False,0
@chilternbear @CadburyUK @GaryLineker @MarcusRashford @BillGates @BillScrotum @acgrayling @Schofe @JustinWelby… https://t.co/V7w9QPQ13M,Wed Jan 13 08:11:17 +0000 2021,,en,,,12127,29822,Indefatigable,,1226834493752979457,Mon Feb 10 11:45:22 +0000 2020,False,False,,0,2449,False,,4310,True,@S2K777,,S2K7771,False,F5F8FA,http://pbs.twimg.com/profile_images/1228260816425713664/rb6Nsx5P_normal.jpg,,1349267764381425666,1,False,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",False,0
